MongoDB shell version: 3.2.8
connecting to: photometers
name,tamb,tsky,mag,tstamp,latitude,longitude
stars1,11.12,-15.5,16.91,2017-10-28T05:55:14Z,40.4246043,-3.560279
stars19,20.57,-3.37,19.99,2017-10-28T05:55:13Z,32.223877,-110.767532
stars18,10.14,-28.99,14.43,2017-10-28T05:55:13Z,40.037077,-1.001815
stars7,16.09,8.58,14.39,2017-10-28T05:55:08Z,42.81732,-1.64543
stars64,8.67,-7.63,0,2017-10-28T05:55:07Z,45.0510358,10.9197606
stars62,10.23,-20.12,13.62,2017-10-28T05:55:07Z,42.024592,0.7347973
stars92,6.08,-2.27,0,2017-10-28T05:55:05Z,42.6378,23.3333
stars52,13.29,-10.82,14.93,2017-10-28T05:55:05Z,36.87928471,-2.43834458
stars78,12.85,8.53,15.81,2017-10-28T05:55:04Z,53.2872217,-6.2479933
stars18,10.05,-28.63,14.47,2017-10-28T05:55:03Z,40.037077,-1.001815
stars56,20.6,2.51,20.06,2017-10-28T05:54:58Z,37.81391,-25.56859
stars76,17.25,-5.94,13.25,2017-10-28T05:54:56Z,39.478898,-0.376524
stars18,9.96,-28.2,14.51,2017-10-28T05:54:53Z,40.037077,-1.001815
stars71,16.02,-3.05,13.29,2017-10-28T05:54:53Z,43.5681472,1.327194444
stars8,12.84,-7.57,16.29,2017-10-28T05:54:47Z,42.71167,-1.86509
stars11,16.53,-11.66,17.05,2017-10-28T05:54:47Z,36.87,-6.26
stars69,17.11,-11.38,20.2,2017-10-28T05:54:46Z,42.6106406,-8.3708311
stars4,26.55,14.76,17.87,2017-10-28T05:54:44Z,28.6865,-17.7665
stars1,11.13,-15.39,16.98,2017-10-28T05:54:44Z,40.4246043,-3.560279
stars18,9.91,-28.14,14.55,2017-10-28T05:54:43Z,40.037077,-1.001815
stars70,23.95,3.15,20.86,2017-10-28T05:54:43Z,28.5258381,-14.0050689
stars83,8.01,6.42,8.88,2017-10-28T05:54:37Z,59.267231,18.137398
stars79,24.25,14.71,20.98,2017-10-28T05:54:36Z,16.8640833,-24.86783333
stars32,12.66,-14.08,17.31,2017-10-28T05:54:36Z,40.628752,-3.90066
stars52,13.33,-10.96,15.04,2017-10-28T05:54:35Z,36.87928471,-2.43834458
stars48,11.6,-15.2,16.89,2017-10-28T05:54:34Z,40.406135,-3.8385415
stars9,15.07,-14.17,17.47,2017-10-28T05:54:33Z,38.409226,-4.894376
stars35,7.25,-13.95,0,2017-10-28T05:54:33Z,45.93,13.91
stars18,9.87,-27.7,14.59,2017-10-28T05:54:33Z,40.037077,-1.001815
stars63,13.76,-11.19,19.98,2017-10-28T05:54:33Z,28.2983,-16.51048
stars47,11.68,-8.68,0,2017-10-28T05:54:32Z,45.40315,11.8845
stars90,24.97,12.65,18.36,2017-10-28T05:54:29Z,,
stars2,10.06,-23.47,16.4,2017-10-28T05:54:28Z,41.0012989,-2.492408
stars18,9.86,-27.91,14.63,2017-10-28T05:54:23Z,40.037077,-1.001815
stars15,15.6,-9.89,17.78,2017-10-28T05:54:22Z,38.3149,-5.28355
stars4,26.55,14.82,17.95,2017-10-28T05:54:14Z,28.6865,-17.7665
stars19,20.58,-3.41,19.98,2017-10-28T05:54:13Z,32.223877,-110.767532
stars18,9.9,-27.66,14.67,2017-10-28T05:54:13Z,40.037077,-1.001815
stars1,11.14,-15.32,17.06,2017-10-28T05:54:13Z,40.4246043,-3.560279
stars62,10.19,-20.32,13.85,2017-10-28T05:54:07Z,42.024592,0.7347973
stars7,16.06,8.31,14.45,2017-10-28T05:54:07Z,42.81732,-1.64543
stars52,13.39,-11.02,15.15,2017-10-28T05:54:05Z,36.87928471,-2.43834458
stars92,6.19,-1.62,0,2017-10-28T05:54:04Z,42.6378,23.3333
stars18,9.95,-27.4,14.71,2017-10-28T05:54:03Z,40.037077,-1.001815
stars78,12.82,8.36,15.88,2017-10-28T05:54:03Z,53.2872217,-6.2479933
stars56,20.6,2.36,20.08,2017-10-28T05:53:57Z,37.81391,-25.56859
stars76,17.28,-5.7,13.49,2017-10-28T05:53:56Z,39.478898,-0.376524
stars18,10.01,-27.48,14.75,2017-10-28T05:53:53Z,40.037077,-1.001815
stars8,12.86,-9.2,16.52,2017-10-28T05:53:47Z,42.71167,-1.86509
stars11,16.5,-11.61,17.24,2017-10-28T05:53:47Z,36.87,-6.26
stars4,26.54,14.74,18.01,2017-10-28T05:53:44Z,28.6865,-17.7665
stars1,11.14,-15.31,17.13,2017-10-28T05:53:43Z,40.4246043,-3.560279
stars18,10.07,-27.46,14.79,2017-10-28T05:53:43Z,40.037077,-1.001815
stars70,23.91,2.99,20.88,2017-10-28T05:53:43Z,28.5258381,-14.0050689
stars83,7.94,6.43,8.99,2017-10-28T05:53:37Z,59.267231,18.137398
stars79,24.24,14.74,20.97,2017-10-28T05:53:36Z,16.8640833,-24.86783333
stars32,12.67,-14.03,17.5,2017-10-28T05:53:36Z,40.628752,-3.90066
stars52,13.43,-10.94,15.26,2017-10-28T05:53:35Z,36.87928471,-2.43834458
stars71,16.08,-0.59,13.55,2017-10-28T05:53:33Z,43.5681472,1.327194444
stars35,7.26,-14.08,0,2017-10-28T05:53:33Z,45.93,13.91
stars18,10.11,-27.72,14.83,2017-10-28T05:53:33Z,40.037077,-1.001815
stars63,13.72,-11.14,19.98,2017-10-28T05:53:33Z,28.2983,-16.51048
stars48,11.61,-15.2,17.04,2017-10-28T05:53:33Z,40.406135,-3.8385415
stars9,15.05,-14.18,17.66,2017-10-28T05:53:32Z,38.409226,-4.894376
stars47,11.65,-8.34,0,2017-10-28T05:53:31Z,45.40315,11.8845
stars90,24.96,12.64,18.36,2017-10-28T05:53:29Z,,
stars2,10.32,-23.7,16.6,2017-10-28T05:53:26Z,41.0012989,-2.492408
stars18,10.17,-27.83,14.87,2017-10-28T05:53:23Z,40.037077,-1.001815
